researcher,day,month,year,time,mesocosm,vase,Temperature.C,Salinity.ppt,infection,experiment.day,site
FRS,2,august,2016,0:00,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,0:30,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,1:00,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,1:30,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,2:00,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,2:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,3:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,3:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,4:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,4:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,5:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,5:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,6:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,6:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,7:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,7:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,8:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,8:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,9:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,9:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,10:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,10:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,11:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,11:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,12:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,12:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,13:00,NA,NA,21.7,NA,DC,0,NA
FRS,2,august,2016,13:30,NA,NA,21.7,NA,DC,0,NA
FRS,2,august,2016,14:00,NA,NA,21.7,NA,DC,0,NA
FRS,2,august,2016,14:30,NA,NA,21.7,NA,DC,0,NA
FRS,2,august,2016,15:00,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,15:30,NA,NA,21.8,NA,DC,0,NA
FRS,2,august,2016,16:00,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,16:30,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,17:00,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,17:30,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,18:00,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,18:30,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,19:00,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,19:30,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,20:00,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,20:30,NA,NA,22,NA,DC,0,NA
FRS,2,august,2016,21:00,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,21:30,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,22:00,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,22:30,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,23:00,NA,NA,21.9,NA,DC,0,NA
FRS,2,august,2016,23:30,NA,NA,21.9,NA,DC,0,NA
FRS,3,august,2016,0:30,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,1:00,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,1:30,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,2:00,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,2:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,3:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,3:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,4:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,4:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,5:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,5:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,6:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,6:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,7:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,7:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,8:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,8:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,9:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,9:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,10:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,10:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,11:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,11:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,12:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,12:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,13:00,NA,NA,21.66388889,NA,DC,1,NA
FRS,3,august,2016,13:30,NA,NA,21.66388889,NA,DC,1,NA
FRS,3,august,2016,14:00,NA,NA,21.66388889,NA,DC,1,NA
FRS,3,august,2016,14:30,NA,NA,21.66388889,NA,DC,1,NA
FRS,3,august,2016,15:00,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,15:30,NA,NA,21.76,NA,DC,1,NA
FRS,3,august,2016,16:00,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,16:30,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,17:00,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,17:30,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,18:00,NA,NA,22.04611111,NA,DC,1,NA
FRS,3,august,2016,18:30,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,19:00,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,19:30,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,20:00,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,20:30,NA,NA,21.95111111,NA,DC,1,NA
FRS,3,august,2016,21:00,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,21:30,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,22:00,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,22:30,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,23:00,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,23:30,NA,NA,21.855,NA,DC,1,NA
FRS,3,august,2016,12:00,20,1,22,31.31,N,1,DC
FRS,3,august,2016,12:00,20,3,22.1,31.88,N,1,NB
FRS,3,august,2016,12:00,20,5,22.2,30.92,N,1,WB
FRS,3,august,2016,12:00,20,7,22.2,32.21,N,1,LP
FRS,3,august,2016,12:00,19,9,22.2,31.87,N,1,WB
FRS,3,august,2016,12:00,19,11,22.1,31.94,N,1,LP
FRS,3,august,2016,12:00,19,13,22.3,31.96,N,1,DC
FRS,3,august,2016,12:00,19,15,22.2,29.97,N,1,NB
FRS,3,august,2016,12:00,18,17,22,31.88,N,1,WB
FRS,3,august,2016,12:00,18,19,22,31.53,N,1,NB
FRS,3,august,2016,12:00,18,21,22.2,31.98,N,1,DC
FRS,3,august,2016,12:00,18,23,22.2,31.86,N,1,LP
FRS,3,august,2016,12:00,17,25,22,32.03,N,1,LP
FRS,3,august,2016,12:00,17,27,21.9,32.04,N,1,DC
FRS,3,august,2016,12:00,17,29,22.2,31.8,N,1,WB
FRS,3,august,2016,12:00,17,31,22.3,32.03,N,1,NB
FRS,3,august,2016,12:00,16,33,22.3,31.76,N,1,DC
FRS,3,august,2016,12:00,16,35,22.1,31.77,N,1,NB
FRS,3,august,2016,12:00,16,37,22.2,31.83,N,1,WB
FRS,3,august,2016,12:00,16,39,22.1,31.74,N,1,LP
FRS,3,august,2016,12:00,15,41,22.2,31.97,N,1,LP
FRS,3,august,2016,12:00,15,43,22.3,31.62,N,1,DC
FRS,3,august,2016,12:00,15,45,22.3,31.43,N,1,NB
FRS,3,august,2016,12:00,15,47,22.1,31.14,N,1,WB
FRS,3,august,2016,12:00,23,49,22.4,30.71,N,1,LP
FRS,3,august,2016,12:00,23,51,22.3,32.16,N,1,NB
FRS,3,august,2016,12:00,23,53,22,30.84,N,1,WB
FRS,3,august,2016,12:00,23,55,22.2,31.79,N,1,DC
FRS,3,august,2016,12:00,24,57,22.5,32.18,N,1,LP
FRS,3,august,2016,12:00,24,59,22.5,32.51,N,1,WB
FRS,3,august,2016,12:00,24,61,22.4,32.01,N,1,DC
FRS,3,august,2016,12:00,24,63,22.2,32.64,N,1,NB
FRS,3,august,2016,12:00,25,65,23.2,32.02,N,1,DC
FRS,3,august,2016,12:00,25,67,23,32.24,N,1,LP
FRS,3,august,2016,12:00,25,69,22.9,31.75,N,1,NB
FRS,3,august,2016,12:00,25,71,23.1,31.45,N,1,WB
FRS,3,august,2016,12:00,26,73,22.9,30.37,N,1,DC
FRS,3,august,2016,12:00,26,75,22.7,31.06,N,1,WB
FRS,3,august,2016,12:00,26,77,22.4,31.64,N,1,LP
FRS,3,august,2016,12:00,26,79,22.5,31.76,N,1,NB
FRS,3,august,2016,12:00,27,81,22.7,32.13,N,1,DC
FRS,3,august,2016,12:00,27,83,22.5,31.88,N,1,LP
FRS,3,august,2016,12:00,27,85,22.3,31.92,N,1,WB
FRS,3,august,2016,12:00,27,87,22.6,32.02,N,1,NB
FRS,3,august,2016,12:00,28,89,22.5,32.06,N,1,WB
FRS,3,august,2016,12:00,28,93,22.5,32.08,N,1,LP
FRS,3,august,2016,12:00,28,95,22.4,32.1,N,1,NB
FRS,3,august,2016,12:00,20,2,22.9,32.01,Y,1,LP
FRS,3,august,2016,12:00,20,4,22.9,31.71,Y,1,DC
FRS,3,august,2016,12:00,20,6,22.9,31.65,Y,1,NB
FRS,3,august,2016,12:00,20,8,23.1,31.67,Y,1,WB
FRS,3,august,2016,12:00,19,10,22.7,32.24,Y,1,NB
FRS,3,august,2016,12:00,19,12,22.9,30.74,Y,1,WB
FRS,3,august,2016,12:00,19,14,22.8,31.59,Y,1,LP
FRS,3,august,2016,12:00,19,16,22.6,32.23,Y,1,DC
FRS,3,august,2016,12:00,18,18,22.5,31.51,Y,1,WB
FRS,3,august,2016,12:00,18,20,22.3,32.06,Y,1,NB
FRS,3,august,2016,12:00,18,22,22.3,32.17,Y,1,LP
FRS,3,august,2016,12:00,18,24,22.6,31.96,Y,1,DC
FRS,3,august,2016,12:00,17,26,22.8,31.66,Y,1,LP
FRS,3,august,2016,12:00,17,28,22.6,32.01,Y,1,WB
FRS,3,august,2016,12:00,17,30,22.5,31.63,Y,1,DC
FRS,3,august,2016,12:00,17,32,22.6,31.53,Y,1,NB
FRS,3,august,2016,12:00,16,34,22.6,31.95,Y,1,DC
FRS,3,august,2016,12:00,16,36,22.5,32.33,Y,1,LP
FRS,3,august,2016,12:00,16,38,22.3,32.02,Y,1,WB
FRS,3,august,2016,12:00,16,40,22.7,31.6,Y,1,NB
FRS,3,august,2016,12:00,15,42,22.3,32.25,Y,1,NB
FRS,3,august,2016,12:00,15,44,22.5,31.73,Y,1,WB
FRS,3,august,2016,12:00,15,46,22.4,32.32,Y,1,LP
FRS,3,august,2016,12:00,15,48,22.3,32.42,Y,1,DC
FRS,3,august,2016,12:00,23,50,23,31.43,Y,1,LP
FRS,3,august,2016,12:00,23,52,22,30.43,Y,1,NB
FRS,3,august,2016,12:00,23,54,22.3,31.53,Y,1,WB
FRS,3,august,2016,12:00,23,56,22.6,32.16,Y,1,DC
FRS,3,august,2016,12:00,24,58,22.9,31.84,Y,1,NB
FRS,3,august,2016,12:00,24,60,22.8,32.02,Y,1,LP
FRS,3,august,2016,12:00,24,62,22.6,32.26,Y,1,WB
FRS,3,august,2016,12:00,24,64,22.8,31.95,Y,1,DC
FRS,3,august,2016,12:00,25,66,24.1,31.97,Y,1,WB
FRS,3,august,2016,12:00,25,68,23.9,31.78,Y,1,NB
FRS,3,august,2016,12:00,25,70,23.5,30.65,Y,1,DC
FRS,3,august,2016,12:00,25,72,23.9,32.06,Y,1,LP
FRS,3,august,2016,12:00,26,74,22.9,32.45,Y,1,DC
FRS,3,august,2016,12:00,26,76,22.8,32.17,Y,1,LP
FRS,3,august,2016,12:00,26,78,22.7,32.15,Y,1,NB
FRS,3,august,2016,12:00,26,80,22.9,31.88,Y,1,WB
FRS,3,august,2016,12:00,27,82,23.2,32.16,Y,1,DC
FRS,3,august,2016,12:00,27,84,22.8,31.77,Y,1,NB
FRS,3,august,2016,12:00,27,86,22.7,32.07,Y,1,LP
FRS,3,august,2016,12:00,27,88,22.6,31.23,Y,1,WB
FRS,3,august,2016,12:00,28,90,22.8,32.31,Y,1,WB
FRS,3,august,2016,12:00,28,94,22.6,31.91,Y,1,LP
FRS,3,august,2016,12:00,28,96,22.7,32.13,Y,1,NB
FRS,4,august,2016,0:00,NA,NA,21.855,NA,DC,2,NA
