researcher,day,month,year,mesocosm,vase,infection,experiment.day,site,no.,exp.leaf.no,current.leaf.no,exp.day.appeared,length.cm,area.cm,lesion.area,wd.lesion.area,clipped,wd.lesion.pc,lesion.presence,lesion.absence,S1.no.leaves,S2.no.leaves,S1.no.leaves.new,S2.no.leaves.new,no.leaves.new,no.leaves.lost,dehisced.senesced,broken.sheath,delta.sheath.length,day.broke,notes,shoot.no,mortality.day,stat,S1.total.length,S2.total.length,rhizome.length,ag.biomass,bg.biomass,shoot.notes
FRS,2,august,2016,20,1,N,0,DC,1,1,1,NA,4.317,1.327,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,40.3,NA,5,NA,NA,.
FRS,2,august,2016,20,1,N,0,DC,1,2,2,NA,19.542,6.703,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,40.3,NA,5,NA,NA,.
FRS,2,august,2016,20,1,N,0,DC,1,3,3,NA,17.5,6.55,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,40.3,NA,5,NA,NA,.
FRS,2,august,2016,20,1,N,0,DC,1,4,4,NA,5.486,1.825,0.001,NA,Y,0.048,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,40.3,NA,5,NA,NA,.
FRS,2,august,2016,20,2,Y,0,LP,33,1,1,NA,4.923,1.487,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.6,NA,5,NA,NA,.
FRS,2,august,2016,20,2,Y,0,LP,33,2,2,NA,13.389,4.401,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.6,NA,5,NA,NA,.
FRS,2,august,2016,20,2,Y,0,LP,33,3,3,NA,19.591,6.905,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.6,NA,5,NA,NA,.
FRS,2,august,2016,20,2,Y,0,LP,33,4,4,NA,14.54,5.462,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.6,NA,5,NA,NA,.
FRS,2,august,2016,20,3,N,0,NB,3,1,1,NA,9.838,3.944,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44.5,NA,5,NA,NA,.
FRS,2,august,2016,20,3,N,0,NB,3,2,2,NA,26.088,11.513,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44.5,NA,5,NA,NA,.
