site,Day,s.M1,s.M2,s.M3,s.M4,s.M5,s.M6,s.M7,s.M8,s.M9,s.M10,s.M11,d.M1,d.M2,d.M3,d.M4,d.M5,d.M6,d.M7,d.M8,d.M9,d.M10,d.M11,mean.s,mean.d
CB,0,4,4,4,4,3,4,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,3.875,0
CB,1,4,4,4,4,3,4,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,3.875,0
CB,2,4,4,4,4,3,4,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,3.875,0
CB,3,4,4,4,4,3,4,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,3.875,0
CB,4,4,4,4,4,3,5,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,4,0
CB,5,4,4,4,4,3,5,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,4,0
CB,7,4,4,5,4,3,5,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,4.125,0
CB,10,5,4,5,4,3,5,5,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,4.375,0
CB,14,5,4,5,4,3,5,5,4,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,4.375,0
CB,21,4,4,5,4,3,5,5,5,NA,NA,NA,1,1,1,1,0,1,1,0,NA,NA,NA,4.375,0.75
CB,28,5,4,4,4,4,5,6,4,NA,NA,NA,1,2,2,1,0,2,1,2,NA,NA,NA,4.5,1.375
LP,0,4,4,4,4,3,3,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,3.545454545,0
LP,1,4,4,4,4,3,3,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,3.545454545,0
LP,2,4,4,4,4,3,3,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,3.636363636,0
LP,3,4,4,4,4,3,4,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,3.727272727,0
LP,4,4,4,4,4,3,4,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,3.727272727,0
LP,5,4,4,4,4,3,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3.818181818,0
LP,7,4,4,4,4,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3.909090909,0
LP,10,4,5,4,4,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0
LP,14,4,5,4,4,4,4,4,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4.181818182,0
LP,21,5,7,4,5,4,4,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,4.818181818,0
LP,28,6,8,4,5,4,5,4,5,6,4,5,0,1,1,1,0,0,1,1,0,1,1,5.090909091,0.636363636
NB,0,4,4,4,4,4,3,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3.636363636,0
NB,1,4,4,4,4,4,4,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3.727272727,0
NB,2,4,4,4,4,4,4,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3.727272727,0
NB,3,4,4,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3.909090909,0
NB,4,4,4,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3.909090909,0
NB,5,4,4,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3.909090909,0
NB,7,4,4,4,4,7,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4.181818182,0
NB,10,5,4,4,4,7,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,4.363636364,0
NB,14,5,5,4,5,7,4,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,4.818181818,0
NB,21,6,5,5,5,8,7,6,5,6,5,5,0,0,0,0,0,0,0,0,0,0,0,5.727272727,0
NB,28,7,6,5,5,8,9,7,4,5,4,8,0,0,0,1,1,0,0,2,1,1,0,6.181818182,0.545454545
WB,0,3,3,2,2,3,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.666666667,0
WB,1,3,3,2,3,3,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.833333333,0
WB,2,3,3,2,3,3,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.833333333,0
WB,3,3,3,2,3,3,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.833333333,0
WB,4,3,3,2,3,3,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.833333333,0
WB,5,3,4,2,3,3,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,3,0
WB,7,4,4,2,4,3,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.333333333,0
WB,10,4,4,2,4,3,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.5,0
WB,14,4,5,2,4,3,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.666666667,0
WB,21,5,4,2,4,3,4,NA,NA,NA,NA,NA,0,1,0,1,0,0,NA,NA,NA,NA,NA,3.666666667,0.333333333
WB,28,5,4,2,3,3,4,NA,NA,NA,NA,NA,1,1,0,2,1,1,NA,NA,NA,NA,NA,3.5,1
